#;Раздел;Раздел(рус);Тогровая марка;Капсула;Капсула(рус);Тип продукта;Дизайн;Заголовок;Глтег;Тег1;Тег2;Тег3;Ткань;Крашение;Полное описание;Отношение;Главная картинка;ТН;Артикул;Цвет;Размер;Плотность
35;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Полотенце махровое;Aria di primavera;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120244;ПЦ-615-4074 1сорт;'13-0905;50X100;560
35;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Полотенце махровое;Aria di primavera;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120247;ПЦ-715-4074 1сорт;'13-0905;70X140;540
35;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Полотенце махровое;Aria di primavera;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120250;ПЦ-1215-4074 1сорт;'13-0905;100X150;550
36;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Полотенце махровое;Foresta rosa;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120238;ПЦ-632-4073 1сорт;'10000;50X100;550
36;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Полотенце махровое;Foresta rosa;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120234;ПЦ-732-4073 1сорт;'10000;70X140;530
36;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Полотенце махровое;Foresta rosa;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120241;ПЦ-1232-4073 1сорт;'10000;100X150;540
37;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Gusto cremoso;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120952;ХЦ-925-4079 мд.106 ж 1сорт 44р. (3008);'13-1405;44;440
37;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Gusto cremoso;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120953;ХЦ-925-4079 мд.106 ж 1сорт 46р. (3008);'13-1405;46;440
37;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Gusto cremoso;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120954;ХЦ-925-4079 мд.106 ж 1сорт 48р. (3008);'13-1405;48;440
37;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Gusto cremoso;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120955;ХЦ-925-4079 мд.106 ж 1сорт 50р. (3008);'13-1405;50;440
37;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Gusto cremoso;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120956;ХЦ-925-4079 мд.106 ж 1сорт 52р. (3008);'13-1405;52;440
37;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Gusto cremoso;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120957;ХЦ-925-4079 мд.106 ж 1сорт 54р. (3008);'13-1405;54;440
37;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Gusto cremoso;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120958;ХЦ-925-4079 мд.106 ж 1сорт 56р. (3008);'13-1405;56;440
38;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Oleandro;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т120959;ХЦС-901-4078 мд.98 ж 1сорт 42р. (3008);'13-1108;42;400
38;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Oleandro;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т120960;ХЦС-901-4078 мд.98 ж 1сорт 44р. (3008);'13-1108;44;400
38;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Oleandro;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т120961;ХЦС-901-4078 мд.98 ж 1сорт 46р. (3008);'13-1108;46;400
38;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Oleandro;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т120962;ХЦС-901-4078 мд.98 ж 1сорт 48р. (3008);'13-1108;48;400
38;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Oleandro;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т120963;ХЦС-901-4078 мд.98 ж 1сорт 50р. (3008);'13-1108;50;400
38;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Oleandro;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т120964;ХЦС-901-4078 мд.98 ж 1сорт 52р. (3008);'13-1108;52;400
38;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Халат махровый;Oleandro;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т120965;ХЦС-901-4078 мд.98 ж 1сорт 54р. (3008);'13-1108;54;400
39;001_bathroom;Ванная;Cleanelly Collection;Kurosawa;Персико-Розовая;Коврик махровый;Sogno invernale;Коврик;новинка;;;;Махра;;;ParentCapsule;;Т120242;ПЦ-516-04077 1сорт;'10000;50X70;750
40;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое;Perle di mare;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120576;ПЦС-689-4122 1сорт;'14-4318;50X100;600
40;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое;Perle di mare;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120577;ПЦС-789-4122 1сорт;'14-4318;70X140;590
40;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое;Perle di mare;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120578;ПЦС-1289-4122 1сорт;'14-4318;100X150;600
41;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое;Delphinium dei fiori;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120704;ПЦ-661-4123 1сорт;'17-4320;50X100;470
41;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое;Delphinium dei fiori;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120703;ПЦ-761-4123 1сорт;'17-4320;70X140;460
41;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое;Delphinium dei fiori;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120715;ПЦ-1261-4123 1сорт;'17-4320;100X150;470
42;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое бамбуковое;Riflessione;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120677;ПЦ-634-4124 1сорт;'10000;50X100;520
42;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое бамбуковое;Riflessione;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120680;ПЦ-734-4124 1сорт;'10000;70X140;500
42;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое бамбуковое;Riflessione;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120684;ПЦ-1234-4124 1сорт;'10000;100X150;500
43;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое;labirinto di specchi;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120725;ПЦ-626-4125 1сорт;'10000;50X100;520
43;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое;labirinto di specchi;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120724;ПЦ-726-4125 1сорт;'10000;70X140;500
43;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Полотенце махровое;labirinto di specchi;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120726;ПЦ-1226-4125 1сорт;'10000;100X150;510
44;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Velo blu;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т121263;ХЦ-926-4128 мд.43 ж 1сорт 44р. (3008);'10000;44;440
44;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Velo blu;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т121264;ХЦ-926-4128 мд.43 ж 1сорт 46р. (3008);'10000;46;440
44;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Velo blu;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т121265;ХЦ-926-4128 мд.43 ж 1сорт 48р. (3008);'10000;48;440
44;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Velo blu;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т121266;ХЦ-926-4128 мд.43 ж 1сорт 50р. (3008);'10000;50;440
44;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Velo blu;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т121267;ХЦ-926-4128 мд.43 ж 1сорт 52р. (3008);'10000;52;440
44;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Velo blu;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т121268;ХЦ-926-4128 мд.43 ж 1сорт 54р. (3008);'10000;54;440
44;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Velo blu;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т121269;ХЦ-926-4128 мд.43 ж 1сорт 56р. (3008);'10000;56;440
45;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Abete blu;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т121257;ХЦС-901-4127 мд.26 м 1сорт 48р. (3008);'18-4522;48;420
45;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Abete blu;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т121258;ХЦС-901-4127 мд.26 м 1сорт 50р. (3008);'18-4522;50;420
45;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Abete blu;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т121259;ХЦС-901-4127 мд.26 м 1сорт 52р. (3008);'18-4522;52;420
45;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Abete blu;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т121260;ХЦС-901-4127 мд.26 м 1сорт 54р. (3008);'18-4522;54;420
45;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Халат махровый;Abete blu;Халат мужской;новинка;;;;Махра;;;ParentCapsule;;Т121261;ХЦС-901-4127 мд.26 м 1сорт 56р. (3008);'18-4522;56;420
46;001_bathroom;Ванная;Cleanelly Collection;Bluastro;Голубая;Коврик махровый;Onda turchese;Коврик;новинка;;;;Махра;;;ParentCapsule;;Т120573;ПЦ-115-04126 1сорт;'18-4522;50X70;750
47;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Greek River;Полотенце;;;;;Махра;;;ParentCapsule;;Т112392;ПЦ-2601-3495 1сорт;'13-0908;50X90;420
47;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Greek River;Полотенце;;;;;Махра;;;ParentCapsule;;Т112393;ПЦ-3501-3495 1сорт;'13-0908;70X130;420
48;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Sirena;Полотенце;;;;;Махра;;;ParentCapsule;;Т112534;ПЦ-2601-3532 1сорт;'17-1316;50X90;420
48;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Sirena;Полотенце;;;;;Махра;;;ParentCapsule;;Т112535;ПЦ-3501-3532 1сорт;'17-1316;70X130;420
49;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Cream waffles;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120287;ПЦ-2601-4046 1сорт;'11-0107;50X100;460
49;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Cream waffles;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120286;ПЦ-3501-4046 1сорт;'11-0107;70X140;460
50;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Dolce miele;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т119941;ПЦ-2601-4043 1сорт;'13-1106;50X100;460
50;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Dolce miele;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т119942;ПЦ-3501-4043 1сорт;'13-1106;70X140;460
51;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Floorboard;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120148;ПЦС-2601-4044 1сорт;'12-4301;50X100;460
51;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Floorboard;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120147;ПЦС-3501-4044 1сорт;'12-4301;70X140;460
52;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Sapore di vaniglia;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120158;ПЦС-2602-4045 1сорт;'10000;50X100;460
52;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Sapore di vaniglia;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120161;ПЦС-3502-4045 1сорт;'10000;70X140;460
53;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Delizioso;Полотенце;;;;;Махра;;;ParentCapsule;;Т106848;ПЦ-2602-3095 1сорт;'10000;50X90;460
53;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Полотенце махровое;Delizioso;Полотенце;;;;;Махра;;;ParentCapsule;;Т106852;ПЦ-3502-3095 1сорт;'10000;70X130;460
54;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Халат махровый;Albero di vaniglia;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120921;ХЦС-901-4048 мд.98 1сорт 42р. (3008);'12-4301;42;400
54;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Халат махровый;Albero di vaniglia;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120922;ХЦС-901-4048 мд.98 1сорт 44р. (3008);'12-4301;44;400
54;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Халат махровый;Albero di vaniglia;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120923;ХЦС-901-4048 мд.98 1сорт 46р. (3008);'12-4301;46;400
54;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Халат махровый;Albero di vaniglia;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120924;ХЦС-901-4048 мд.98 1сорт 48р. (3008);'12-4301;48;400
54;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Халат махровый;Albero di vaniglia;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120688;ХЦС-901-4048 мд.98 1сорт 50р. (3008);'12-4301;50;400
54;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Халат махровый;Albero di vaniglia;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120925;ХЦС-901-4048 мд.98 1сорт 52р. (3008);'12-4301;52;400
54;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Халат махровый;Albero di vaniglia;Халат женский;новинка;;;;Махра;;;ParentCapsule;;Т120926;ХЦС-901-4048 мд.98 1сорт 54р. (3008);'12-4301;54;400
55;001_bathroom;Ванная;Cleanelly;Vaniglia;Ванильная;Коврик махровый;Spiaggia sabbiosa;Коврик;новинка;;;;Махра;;;ParentCapsule;;Т120130;ПЦ-103-04047 1сорт;'13-1106;50X70;650
56;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Ragnatela;Полотенце;;;;;Махра;;;ParentCapsule;;Т112389;ПЦ-2601-3493 1сорт;'14-4908;50X90;420
56;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Ragnatela;Полотенце;;;;;Махра;;;ParentCapsule;;Т112388;ПЦ-3501-3493 1сорт;'14-4908;70X130;420
57;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Greek River;Полотенце;;;;;Махра;;;ParentCapsule;;Т112392;ПЦ-2601-3495 1сорт;'14-0114;50X90;420
57;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Greek River;Полотенце;;;;;Махра;;;ParentCapsule;;Т112393;ПЦ-3501-3495 1сорт;'14-0114;70X130;420
58;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Foresta autunnale;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120027;ПЦ-2601-4037 1сорт;'17-0627;50X90;460
58;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Foresta autunnale;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120033;ПЦ-3501-4037 1сорт;'17-0627;70X130;460
59;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Banana leavs;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120405;ПЦС-2601-4040 1сорт;'16-5919;50X90;460
59;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Banana leavs;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120404;ПЦС-3501-4040 1сорт;'16-5919;70X130;460
60;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Lago della foresta;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т119969;ПЦ-2603-4038 1сорт;'16-1010;50X90;460
60;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Lago della foresta;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т119978;ПЦ-3503-4038 1сорт;'16-1010;70X130;460
61;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Foglie di palma;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120096;ПЦС-2602-4039 1сорт;'10000;50X90;460
61;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Foglie di palma;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120120;ПЦС-3502-4039 1сорт;'10000;70X130;460
62;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Coronal;Полотенце;;;;;Махра;;;ParentCapsule;;Т104155;ПЦ-2602-2985 1сорт;'10000;50X90;460
62;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Полотенце махровое;Coronal;Полотенце;;;;;Махра;;;ParentCapsule;;Т104182;ПЦ-3502-2985 1сорт;'10000;70X130;460
63;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Халат вафельный;Te alla menta;Халат мужской;новинка;;;;Вафля;;;ParentCapsule;;Т120929;ХЦ-955-4042 мд.25 1сорт 44р. (3007);'16-0110;44;202
63;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Халат вафельный;Te alla menta;Халат мужской;новинка;;;;Вафля;;;ParentCapsule;;Т120930;ХЦ-955-4042 мд.25 1сорт 46р. (3007);'16-0110;46;202
63;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Халат вафельный;Te alla menta;Халат мужской;новинка;;;;Вафля;;;ParentCapsule;;Т120931;ХЦ-955-4042 мд.25 1сорт 48р. (3007);'16-0110;48;202
63;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Халат вафельный;Te alla menta;Халат мужской;новинка;;;;Вафля;;;ParentCapsule;;Т120687;ХЦ-955-4042 мд.25 1сорт 50р. (3007);'16-0110;50;202
63;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Халат вафельный;Te alla menta;Халат мужской;новинка;;;;Вафля;;;ParentCapsule;;Т120932;ХЦ-955-4042 мд.25 1сорт 52р. (3007);'16-0110;52;202
63;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Халат вафельный;Te alla menta;Халат мужской;новинка;;;;Вафля;;;ParentCapsule;;Т120933;ХЦ-955-4042 мд.25 1сорт 54р. (3007);'16-0110;54;202
63;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Халат вафельный;Te alla menta;Халат мужской;новинка;;;;Вафля;;;ParentCapsule;;Т120934;ХЦ-955-4042 мд.25 1сорт 56р. (3007);'16-0110;56;202
63;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Халат вафельный;Te alla menta;Халат мужской;новинка;;;;Вафля;;;ParentCapsule;;Т120935;ХЦ-955-4042 мд.25 1сорт 58р. (3007);'16-0110;58;202
64;001_bathroom;Ванная;Cleanelly;Vivente;Зеленая;Коврик махровый;Trifoglio;Коврик;новинка;;;;Махра;;;ParentCapsule;;Т120391;ПЦ-103-04041 1сорт;'16-0110;50X70;650
65;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Sfarzoso;Полотенце;;;;;Махра;;;ParentCapsule;;Т096690;ПЦ-2601-2534 1сорт;'458;50X90;460
65;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Sfarzoso;Полотенце;;;;;Махра;;;ParentCapsule;;Т096695;ПЦ-3501-2534 1сорт;'458;70X130;460
66;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Elegance;Полотенце;;;;;Махра;;;ParentCapsule;;Т087502;ПЦ-2601-2033 1сорт;'134;50X90;460
66;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Elegance;Полотенце;;;;;Махра;;;ParentCapsule;;Т087505;ПЦ-3501-2033 1сорт;'134;70X130;460
67;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Isola di corallo;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т119895;ПЦ-2601-4032 1сорт;'16-1641;50X100;460
67;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Isola di corallo;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т119894;ПЦ-3501-4032 1сорт;'16-1641;70X140;460
68;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Catenella;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120269;ПЦС-2601-4034 1сорт;'12-2103;50X100;460
68;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Catenella;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120268;ПЦС-3501-4034 1сорт;'12-2103;70X140;460
69;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Atollo di corallo;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120257;ПЦС-2601-4033 1сорт;'16-1542;50X100;460
69;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Atollo di corallo;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120256;ПЦС-3501-4033 1сорт;'16-1542;70X140;460
70;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Magic Garden;Полотенце;;;;;Махра;;;ParentCapsule;;Т112492;ПЦ-2602-3529 1сорт;'10000;50X90;460
70;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Magic Garden;Полотенце;;;;;Махра;;;ParentCapsule;;Т112493;ПЦ-3502-3529 1сорт;'10000;70X130;460
71;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Agata di Colore;Полотенце;;;;;Махра;;;ParentCapsule;;Т112526;ПЦ-2602-3528 1сорт;'10000;50X90;460
71;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Полотенце махровое;Agata di Colore;Полотенце;;;;;Махра;;;ParentCapsule;;Т112527;ПЦ-3502-3528 1сорт;'10000;70X130;460
72;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Халат вафельный;Magia corallina;Халат женский;новинка;;;;Вафля;;;ParentCapsule;;Т120865;ХЦ-955-4036 мд.65 ж 1сорт 42р. (3007);'16-1542;42;202
72;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Халат вафельный;Magia corallina;Халат женский;новинка;;;;Вафля;;;ParentCapsule;;Т120866;ХЦ-955-4036 мд.65 ж 1сорт 44р. (3007);'16-1542;44;202
72;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Халат вафельный;Magia corallina;Халат женский;новинка;;;;Вафля;;;ParentCapsule;;Т120867;ХЦ-955-4036 мд.65 ж 1сорт 46р. (3007);'16-1542;46;202
72;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Халат вафельный;Magia corallina;Халат женский;новинка;;;;Вафля;;;ParentCapsule;;Т120686;ХЦ-955-4036 мд.65 ж 1сорт 48р. (3007);'16-1542;48;202
72;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Халат вафельный;Magia corallina;Халат женский;новинка;;;;Вафля;;;ParentCapsule;;Т120868;ХЦ-955-4036 мд.65 ж 1сорт 50р. (3007);'16-1542;50;202
72;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Халат вафельный;Magia corallina;Халат женский;новинка;;;;Вафля;;;ParentCapsule;;Т120869;ХЦ-955-4036 мд.65 ж 1сорт 52р. (3007);'16-1542;52;202
72;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Халат вафельный;Magia corallina;Халат женский;новинка;;;;Вафля;;;ParentCapsule;;Т120870;ХЦ-955-4036 мд.65 ж 1сорт 54р. (3007);'16-1542;54;202
73;001_bathroom;Ванная;Cleanelly;Coralista;Коралловая;Коврик махровый;Cristallo grafico;Коврик;новинка;;;;Махра;;;ParentCapsule;;Т119892;ПЦ-103-04035 1сорт;'15-1319;50X70;650
74;001_bathroom;Ванная;Cleanelly;Diname;Розово-сиреневая;Полотенце махровое;Ragnatela;Полотенце;;;;;Махра;;;ParentCapsule;;Т112389;ПЦ-2601-3493 1сорт;'14-2307;50X90;420
74;001_bathroom;Ванная;Cleanelly;Diname;Розово-сиреневая;Полотенце махровое;Ragnatela;Полотенце;;;;;Махра;;;ParentCapsule;;Т112388;ПЦ-3501-3493 1сорт;'14-2307;70X130;420
75;001_bathroom;Ванная;Cleanelly;Diname;Розово-сиреневая;Полотенце махровое;Greek River;Полотенце;;;;;Махра;;;ParentCapsule;;Т112392;ПЦ-2601-3495 1сорт;'16-2107;50X90;420
75;001_bathroom;Ванная;Cleanelly;Diname;Розово-сиреневая;Полотенце махровое;Greek River;Полотенце;;;;;Махра;;;ParentCapsule;;Т112393;ПЦ-3501-3495 1сорт;'16-2107;70X130;420
76;001_bathroom;Ванная;Cleanelly;Diname;Розово-сиреневая;Полотенце махровое;Silver brook;Полотенце;;;;;Махра;;;ParentCapsule;;Т120352;ПЦ-2601-4053 1сорт;'16-3521;50X90;460
76;001_bathroom;Ванная;Cleanelly;Diname;Розово-сиреневая;Полотенце махровое;Silver brook;Полотенце;;;;;Махра;;;ParentCapsule;;Т120353;ПЦ-3501-4053 1сорт;'16-3521;70X130;460
77;001_bathroom;Ванная;Cleanelly;Diname;Розово-сиреневая;Полотенце махровое;Sharp arrows;Полотенце;новинка;;;;Махра;;;ParentCapsule;;Т120300;ПЦС-2601-4054 1сорт;'15-3214;50X90;460
